filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
bhoopali23.wav,0.278083324,0.046152182,2389.986945,2245.143287,4716.238148,0.110069629,-298.8933411,61.72694778,-8.335629463,30.72757912,-7.920509815,9.925504684,-1.612860203,-2.004693031,-2.141775131,14.45504951,-1.187374353,-4.373261452,-7.436313152,9.672894478,-4.901931286,-0.585963547,-0.391307354,-0.90496242,3.050405979,9.083227158,bhoopali
bhoopali24.wav,0.283786982,0.043077398,2321.078937,2195.310797,4601.263843,0.111005754,-305.2853699,66.19786072,-8.702636719,31.79945755,-8.337473869,11.18395805,-0.151462615,-2.987738848,-1.867599845,14.63426113,0.00043882,-3.776316881,-8.88377285,10.50240517,-3.730574608,-2.658416271,0.673078299,-1.122967005,1.216919661,7.828519344,bhoopali
bhoopali25.wav,0.28552568,0.04344454,2322.238965,2212.481289,4692.021628,0.106564359,-303.5681458,69.70829773,-9.755647659,32.15599442,-8.459139824,9.824514389,2.799284935,-4.567930698,2.268992424,13.00199509,-2.518417835,-1.574596524,-7.980220795,9.863067627,-1.145251513,-1.609956622,0.808561265,-3.356140614,-3.741742373,10.16689205,bhoopali
darbari26.wav,0.285320759,0.066686571,2234.68559,2220.574103,4330.750249,0.097762911,-306.9218445,59.67362595,-9.45392704,28.66518402,-7.476984978,8.025092125,1.046882153,-2.053951025,1.727152109,12.14173985,-0.362193465,-7.063835144,-10.41694355,8.898198128,-5.620573521,-2.228389502,-4.905026913,1.577655554,3.051109791,12.48682117,darbari
darbari27.wav,0.298152328,0.064616926,2235.977705,2244.381659,4327.335308,0.093634394,-307.2668457,60.70552444,-8.444564819,26.75226593,-6.459903717,8.231113434,1.444075584,-0.574453294,-0.526055872,13.57300568,-0.43325758,-5.618299484,-9.362010956,7.641064167,-4.771081924,-1.803972363,-5.127649784,1.404808998,2.393412113,11.19221687,darbari
darbari28.wav,0.268214464,0.064783119,2184.017745,2235.405093,4277.703066,0.088021805,-303.1350403,62.42174911,-4.937139034,30.46786118,-9.007414818,7.642266273,4.023206711,0.098314814,-0.948970556,11.49127007,-0.472572505,-3.576629162,-10.1125145,5.916376591,-6.004454613,-1.386397243,-4.976400375,1.505764961,0.805009305,10.48479843,darbari
darbari29.wav,0.272484004,0.068268985,2190.609699,2216.714054,4231.058602,0.090901874,-301.1158752,59.43594742,-7.684032917,29.87577629,-7.010354996,6.957714081,2.009776115,0.483173966,-1.630765557,11.92446804,0.504060447,-6.581022739,-7.792567253,7.501200199,-6.882889271,-0.901293159,-5.515966415,2.010756254,2.055604696,9.894104004,darbari
darbari30.wav,0.260489076,0.067384556,2191.335813,2213.526287,4274.438036,0.092770131,-301.1422424,61.54903412,-7.955483913,29.16203499,-8.906749725,7.791163445,2.62985754,-1.052174687,0.2758964,13.05065536,0.108962066,-4.81056118,-8.306999207,5.932786942,-6.512002945,-0.142651081,-4.739048481,2.602147341,1.93862927,12.3361187,darbari
DKanada01.wav,0.299123228,0.267189771,1355.832736,1345.838593,2094.720667,0.085296914,-97.54301453,149.8173065,-61.10087204,-11.62227154,-15.40623474,-6.902413368,-27.28097725,-16.51327896,-29.16692924,-1.469390869,0.486895144,-9.435640335,6.55079937,3.698899508,-2.176048756,-1.018010736,-5.91024828,6.393479824,-8.810603142,-4.302170753,dkanada
DKanada02.wav,0.290782571,0.261571229,1347.721464,1379.679646,2216.728262,0.077807164,-109.3426361,147.3713531,-55.08098984,-4.781197548,-16.04547882,-13.38654327,-23.65036583,-8.68602562,-26.05349541,-1.625449896,2.53423214,-10.15276718,4.966307163,2.5329566,-4.232982159,-0.715195239,-5.047989845,3.130627632,-7.699707985,-4.127577782,dkanada
DKanada03.wav,0.300634563,0.237321675,1364.384913,1374.755149,2358.31074,0.081381216,-103.4408493,151.2916412,-59.39211273,-1.922965288,-13.54679298,-19.54579926,-20.88972664,-6.647768497,-31.34052658,-3.428508282,6.942806244,-2.289061785,10.57412052,0.650600731,-11.16455269,0.330341101,-0.815614045,9.423789978,-9.917994499,-0.895088136,dkanada
DKanada04.wav,0.328879148,0.183480874,1344.827474,1375.051899,2223.653221,0.082519153,-122.2487335,155.2873993,-58.1823616,-1.760456443,-11.40799904,-14.42987347,-19.41026878,-9.120004654,-27.96057701,-1.471072316,-0.289403349,-5.225218773,10.80654812,2.154275417,-7.659879684,3.846861124,-1.996417999,7.504646778,-8.04301548,-3.300435543,dkanada
DKanada05.wav,0.292413592,0.214192957,1295.581935,1353.969431,2147.312015,0.074294713,-115.6480484,156.204422,-56.55773544,-3.010790825,-10.32126808,-15.75973225,-25.08042526,-12.06932926,-26.92066193,-2.955538034,4.23322916,-3.017426968,10.79169178,-1.302359223,-5.933848858,3.377671957,-2.97976017,9.613073349,-8.660277367,-3.357554197,dkanada
malkauns01.wav,0.365998924,0.066232026,1251.774843,1210.837606,1932.529981,0.084641967,-234.5105896,172.738266,-53.13250351,-7.803759098,-19.61205101,1.551356673,-23.53391457,0.850141943,-9.198553085,-0.834809959,1.889795065,-1.645972133,12.53377819,6.301190853,-0.392176718,2.994722366,5.226987362,3.704828024,-0.477301121,-2.412680149,malkauns
malkauns02.wav,0.32607305,0.054997023,1303.321418,1377.857852,2002.012894,0.08195831,-245.6785278,160.9512024,-40.66526413,-10.09002018,-12.30698586,5.621670246,-30.31806946,-4.078600407,-8.465057373,-4.544516087,0.546168745,-0.104195975,10.79235554,8.507695198,1.335370302,3.639260769,9.845252991,4.547034264,1.129585743,-2.823402166,malkauns
malkauns03.wav,0.348098099,0.074720591,1307.518977,1294.32093,2002.729556,0.088410652,-224.8772736,164.6628571,-51.15702438,-13.57843685,-2.932329893,-2.425106049,-33.03801727,-7.783537388,-7.43145752,-3.109315872,1.474957108,2.776087761,4.951307297,11.28360462,-0.2811158,9.564357758,3.179346561,12.79942989,-0.375572979,-2.372129679,malkauns
malkauns04.wav,0.272921294,0.106358983,1303.029494,1324.066778,1952.979857,0.080471547,-211.9586945,151.7820435,-44.32533264,-11.73492336,-15.51668358,2.592020273,-31.6113224,-8.159996033,-12.3179369,-5.763550282,1.935314655,-4.173005581,2.675719976,9.787581444,5.393308163,7.480158806,6.693688869,8.47252655,-1.943977118,-2.062296391,malkauns
malkauns05.wav,0.345608085,0.065144755,1161.293547,1004.42271,1782.622554,0.084678248,-268.9369812,196.0320587,-61.84721375,-21.5740757,-2.553460836,-12.25132084,-15.40262318,-6.331269264,-12.20636082,-0.26682207,5.048715591,-2.69691205,10.99009037,6.472233772,0.01341022,2.51408124,7.096947193,5.984363556,-1.209269285,-1.152558446,malkauns
malkauns25.wav,0.307700872,0.059882045,1688.786523,1997.539264,3359.179688,0.065174738,-291.2333374,87.27383423,-17.14658928,33.85705948,2.128378391,14.80986691,4.107217789,0.182832062,1.621848941,14.46452904,1.440703034,-4.913309097,-2.815392494,10.3471632,-3.449342489,6.100953579,-4.039371967,-2.655450583,-3.653946161,-3.140533209,malkauns
malkauns26.wav,0.269440591,0.049182262,1947.362056,2165.407932,3829.686926,0.081236836,-341.2849731,73.70156097,-6.452373505,28.70711327,-8.88213253,2.356302738,3.458151579,-0.267709821,-0.045701794,5.653369427,-5.63170433,-1.055379152,-10.46704769,7.663809776,-12.22373295,-2.439558744,-2.43208909,9.660366058,14.63955784,20.86770439,malkauns
malkauns27.wav,0.277374536,0.055269416,1993.556195,2130.753407,3851.540765,0.086983708,-325.766449,73.4905777,-10.93678093,26.35128975,-9.394926071,5.570240021,2.839716196,0.215745643,-1.043430924,8.798578262,-3.782612324,-3.22341013,-9.784333229,7.200558186,-13.78372192,-0.916185141,-2.183478832,4.685113907,11.14822102,15.32172108,malkauns
malkauns28.wav,0.295034021,0.052128434,1846.702539,2048.56157,3527.810648,0.079583613,-317.0111694,85.71521759,-11.73770332,28.93228149,1.617514491,11.86879253,4.534511566,0.540611088,-0.359203041,12.3526516,-2.003983259,-5.988474846,-4.455973625,9.160207748,-5.448592186,2.036170244,-2.929826498,-5.072618961,-3.201514244,-0.647354305,malkauns
malkauns29.wav,0.253601938,0.007621845,1910.287925,2166.578828,3904.201392,0.065864681,-492.3209229,73.94920349,-6.026848316,39.07477951,-1.633059263,6.060659885,-2.189476967,4.200408936,-0.245405599,9.212552071,-0.645791948,-7.045237064,-3.199330568,10.61634064,-7.163813591,3.797438145,-3.674677372,-1.150590897,-0.728687584,7.012109756,malkauns
sarang01.wav,0.248558074,0.076449364,1099.030112,1270.739168,1777.039254,0.057909325,-280.7006531,165.6331329,-27.69849968,-16.94755936,4.330998898,0.191721559,-27.7897644,-9.297660828,-8.069515228,2.713931799,1.175534725,-5.66301012,5.399984837,6.132164955,1.205861807,0.910702348,-5.880588531,1.801139474,-4.20457077,-2.199801683,sarangi
sarang02.wav,0.285625309,0.055732124,1154.015389,1196.912202,1769.155969,0.072986709,-283.3614502,183.3416443,-43.35567093,-14.42612553,1.565828204,-1.666475892,-16.4978981,-6.127664089,-9.089287758,9.755056381,7.474131107,-1.479365587,4.378008366,7.103559494,0.015045827,8.618341446,-6.31985569,7.805153847,0.322305888,-4.294034958,sarangi
sarang03.wav,0.251071692,0.055460338,1342.037088,1530.38263,2301.702749,0.07120932,-246.1913147,156.3414307,-35.97314453,7.140069485,6.484578133,2.650805235,-12.17673016,2.935404301,-15.73422718,3.081549406,4.210833549,0.147629708,-4.774447918,7.138086796,4.416491032,11.39948273,-3.411247015,12.44951916,-3.304396152,-2.189586878,sarangi
sarang04.wav,0.26929301,0.085651197,1210.75507,1328.113876,1793.080824,0.070136008,-245.7185516,167.7080536,-34.71922302,-21.90970421,-6.295685291,2.902448177,-24.81041145,-10.04647732,-8.054706573,6.169333458,3.24877739,-4.080688953,3.063018799,3.508294821,-0.259631455,4.831193924,-8.806915283,7.651356697,-3.044477463,-0.308683217,sarangi
sarang05.wav,0.241864353,0.060926415,1268.534895,1405.915051,2037.612679,0.072549826,-236.0884705,163.9167175,-37.78575516,3.998953581,5.722872257,7.434715271,-15.95803356,-10.15696239,-16.71927834,1.357378244,-3.474808216,1.644572258,6.97321558,7.371223927,3.788683891,6.047165871,-5.538993835,11.98539543,9.347929955,2.382098198,sarangi
sarang16.wav,0.279471278,0.066112772,2217.114092,2214.448449,4343.702244,0.094661458,-319.0527954,57.73971176,-7.234042168,24.86652946,-9.524296761,9.058947563,4.433056355,-3.126320839,2.089902401,10.41699982,-1.664086699,-4.42543602,-12.14604282,6.917131901,0.4980582,8.522740364,8.560825348,7.948928356,-0.635926962,2.552493095,sarangi
sarang17.wav,0.282999635,0.065297529,2132.785955,2209.052157,4149.255669,0.086702077,-319.8355713,60.37450409,-8.162398338,23.1252346,-6.676198006,10.40532398,0.309601933,0.488934368,1.138996959,9.12964344,-0.688231707,-8.028900146,-11.65603447,10.67327118,-3.474693537,9.348069191,7.440636158,9.76407814,1.33603096,1.246096611,sarangi
sarang18.wav,0.269349009,0.070642382,2162.758335,2208.560492,4283.678844,0.087385752,-308.5063477,57.17006683,-7.325550079,25.63961411,-12.14260483,10.21911716,4.885080814,-0.876903176,1.120889902,9.520903587,-0.943637073,-6.270861626,-10.67299175,7.57094717,-0.410143077,9.025080681,7.97738266,9.536584854,-1.092395782,3.052447081,sarangi
sarang19.wav,0.268938631,0.066020988,2186.142012,2191.50654,4269.202628,0.092820372,-320.0560913,58.02654648,-8.054035187,26.02521324,-9.053949356,7.319281578,6.181949615,-0.912953556,1.157743812,10.0745697,-3.582033634,-5.700540543,-9.253376961,5.623060703,-0.92894274,8.560426712,7.779252529,8.5809412,-0.091042839,1.646382093,sarangi
